Metric Name (CN),English Name,English Abbreviation,Category,Lower Bound,Upper Bound,Unit,Professional Interpretation,Recommendations,Applicable Scope,Health Interpretation,Aliases
Fungal amylase,Fungal amylase,fAMY,Enzyme Assay,4,9,FAU (fungal amylase units),Fungal amylase is refined from Aspergillus oryzae via deep culture and extraction. It is an endo-amylase rapidly hydrolyzing 1,4-glucosidic bonds in gelatinized starch, amylose," and amylopectin, producing soluble dextrins plus some maltose/glucose. Longer reaction yields maltose-rich syrup.,Used in baked goods, fermented liquor, starch sugar, juice, vegetable processing, alcohol production.,Industries: maltose, high-maltose, brewing, baked foods.,ADI not required (from A. oryzae; FAO/WHO 1994).",
Alkaline phosphatase,Alkaline phosphatase,ALP,Liver Function,35,105,U/L,Elevation seen in biliary obstruction, bone disease; check γ-GT to source.,Use imaging or γ-GT for further workup.,"Adults, Children,ALP elevation common in hepatobiliary or skeletal disease; correlate history.",
Uridylyltransferase,Uridylyltransferase,UTase,Enzyme Assay,,,,Galactose-1-phosphate uridylyltransferase (galT gene) is the key Leloir pathway enzyme catalyzing UDP-glucose + galactose-1-phosphate → glucose-1-phosphate + UDP-galactose. GALT is on 9p13.3; defects cause galactose metabolism disorder (neonatal galactosemia).,Activity <10 leads to galactose-1-phosphate accumulation in liver/brain causing cirrhosis and intellectual disability. Lifelong lactose restriction; avoid absorbable sugars like lactulose.,Neonatal galactosemia screening,"In microbes, engineering galT boosts lactose metabolism; by 2025 seven variants (e.g., Duarte, Indiana) identified.",
Creatine kinase,Creatine kinase,CK,Myocardial Injury Related,18,198,U/L,"CK used to diagnose skeletal muscle and cardiac disease; elevation from strenuous exercise, delivery, IM injections, MI, myocarditis, myositis, dystrophy; low in hyperthyroidism.",Use serum (not plasma); avoid hemolysis and factors that inactivate enzyme (heat/light); avoid CO2 loss altering pH.,Used for diagnosing skeletal muscle and cardiac disorders.,"Normal CK suggests normal muscle/heart; high indicates injury—interpret with other tests., GI, lung, kidney. Cytosolic/mitochondrial enzyme linked to energy turnover, contraction, ATP regeneration. CK activity aids diagnosis of muscle and cardiac disease.,1. Elevated\n(1) Physiologic: post-exercise (more with intensity/duration); postpartum and newborn; procedures (pacemaker, ECT, radiation, CPR, cath, urologic); larger muscle mass in males; IM injections (anesthetics, analgesics, antibiotics, dexamethasone); drugs like clofibrate.\n(2) Pathologic: MI, viral myocarditis, polymyositis, muscular dystrophy, pericarditis, stroke, etc.\n2. Decreased\nHyperthyroidism.,Adults,",
Creatine kinase MB,Creatine kinase MB,CK-MB,Myocardial Injury Related,0,100,%,CK isoenzymes assess CK activity sources. CK-MM (skeletal): 97%-100%; CK-MB (cardiac): 0%-3%; CK-BB (brain): 0.,"Abnormal:\n(1) CK-MM↑ with normal iso ratios but high total CK: primary muscular atrophy, Duchenne dystrophy, seizures.\n(2) CK-MB↑: MI, myocarditis, neonatal asphyxia.\n(3) CK-BB↑: neonatal asphyxia, brain trauma.\nPopulations: newborns, middle/elderly, cardiac disease patients.",Adults,,
Glucose-6-phosphate isomerase,Glucose-6-phosphate isomerase,GPI,Enzyme Assay,50.8,72.9,U/L,Multifunctional enzyme; elevated in rheumatoid arthritis, myocardial infarction, hepatitis," cirrhosis.,If abnormal, further evaluate RA, MI, hepatitis, cirrhosis, etc.,Assessing RA, MI, hepatitis, cirrhosis.,Normally within reference; elevation may relate to many diseases—interpret with other tests.",
Fasting plasma glucose,Fasting plasma glucose,FPG,Glucose Metabolism,3.89,6.1,mmol/L,FPG: plasma glucose after overnight fast ≥8–10h (water allowed), before breakfast; reflects basal insulin/B-cell function; key diabetes test.,Best draw 6–8am; no hypoglycemics," breakfast, or exercise before draw; late draws may misreflect control.,Diabetes screening and glycemic assessment,Normal 3.89–6.1 mmol/L; <2.8 with symptoms → hypoglycemia; 6.1–<7.0 → impaired fasting glucose; ≥7.0 → diabetes (recheck FPG or OGTT).",
Urinary casts,Urinary casts,Casts,Urine Routine,0,3,per uL,Urinary casts are cylindrical aggregates of cells/cell debris/protein. Common types: hyaline, granular, fatty," waxy, cellular. Normal urine may rarely show hyaline; reference 0–3/μL. ≥2–3/HPF suggests renal injury (e.g., nephritis, renal failure).,Clinical clues: hyaline occasionally normal or after exercise/dehydration/fever. Granular casts seen with tubular/glomerular inflammation/degeneration. RBC casts → glomerular/tubular bleeding (acute GN, flare of chronic GN, renal bleed). WBC casts → renal parenchymal infection (renal abscess, interstitial nephritis). Fatty casts → tubular injury (chronic GN, toxic nephropathy, nephrotic syndrome).\nIncreased casts warrant prompt evaluation and renal workup to confirm parenchymal/systemic injury and treat accordingly.,Adults,",
Rheumatoid factor,Rheumatoid factor,RF,Immunology Rheumatology,0,20,IU/ml,Autoantibody targeting denatured IgG Fc (IgA/IgG/IgM/IgE); produced in lymphoid tissues; marker in RA.,"High in autoimmune (RA, SLE, Sjogren, dermatomyositis, scleroderma), acute viral (mono, hepatitis, flu), chronic bacterial (TB, endocarditis), parasites (malaria, schistosomiasis), some tumors.",Adults,High RF suggests autoimmune or infection; interpret with symptoms and other serology.,
Stool routine,Stool routine,Stool,Stool Examination,None,None,Negative,Isolated abnormal finding has limited meaning; with stool WBC may suggest infectious or inflammatory bowel disease.,"If abnormal, see gastroenterology for further testing.",Adults,Abnormal stool may indicate GI infection or inflammation.,
Fecal occult blood,Fecal occult blood,FOBT,Stool Examination,None,None,Negative,"Prone to false positives but important for colorectal cancer screening, especially middle-aged/elderly.",Positive -> colonoscopy or scheduled follow-up to exclude lesions.,Middle-aged and Elderly,FOBT is key for early colorectal cancer detection.,
Argininosuccinate lyase,Argininosuccinate lyase,ASL,Enzyme Assay,0.2,5.3,u,Urea-cycle enzyme richest in liver; rises when hepatocytes are damaged; diagnostic value similar to transaminases.,Pre-test: avoid greasy/high-protein food and alcohol; fast 12h; draw fresh blood.,"Patients with fever, fatigue, anorexia, nausea/vomiting, upper abdominal discomfort, bloating, constipation or diarrhea.","High: marked in viral hepatitis, primary liver cancer; moderate in cholecystitis/cholangitis, mono, CHF, chronic hepatitis, cirrhosis, Hodgkin disease, etc.",
Seminal lactate dehydrogenase X,Seminal lactate dehydrogenase X,LDH-X,Andrology Test,40,,,LDH-X is a sperm-specific enzyme supporting glycolysis and motility; activity correlates with sperm concentration/viability.,"Before collection: abstain 2–7 days, no masturbation/night emission, avoid smoking/alcohol and meds affecting spermatogenesis; wash hands/genitals before collection.","For subfertility/infertility, oligospermia/hematospermia.",LDH-X/LD >40 is normal; reduced activity links to impaired spermatogenesis and lower fertility.,
Hemoglobin A1c,Hemoglobin A1c,HbA1c,Glucose Metabolism,4,6,%,HbA1c is irreversible glycation of hemoglobin by glucose; reflects % of Hb bound to glucose; normal 4–6%.,Accurately reflects long-term glycemic control and is the gold standard metric in diabetes guidelines.,Adults,,
Glycosidase,Glycosidase,GlyCase,Enzyme Assay,4,4.5,U,"Hydrolyzes alpha-1,4 (and slowly alpha-1,6) glucosidic bonds of starch from non-reducing ends; optimal 60–62°C, pH 4.0–4.5.",Control temperature/pH; ensure good contact with starch; mix well or maintain steady flow.,"Alcohol, starch sugar, MSG, antibiotics, citric acid, beer, and liquor production.",Widely used in food industry; non-corrosive to equipment; safe when used properly to improve efficiency.,
Glycogen synthase,Glycogen synthase,GYS,Enzyme Assay,,,Ug,"Rate-limiting enzyme for glycogen synthesis in liver/muscle cytosol; uses UDP-glucose to extend chains; activity regulated by phosphorylation (active dephosphorylated), hormones, 6-phosphoglucose (activator), ATP (inhibitor).",—,Liver and muscle cells,Core insulin-target enzyme for glucose homeostasis; activity abnormalities relate to insulin resistance and type 2 diabetes.,
Cancer antigen 125,Cancer antigen 125,CA125,Tumor Marker,0,35,KU/L,CA125 (MUC16) is a mucin glycoprotein encoded by MUC16; a tumor marker/biomarker that can rise in certain cancers and benign conditions.,"Benign/inflammatory causes: endometriosis, PID, cholecystitis, pancreatitis, pneumonia, ovarian endometrioma, pleural/ascitic effusions—combine with chest/abdominal CT to clarify cause.",,,
Therapy monitoring: drop to normal → good control; drop but >35 → possible residual; unchanged/rising → therapy ineffective," adjust plan.""",Adults,,,,,,,,,
Cancer antigen 15-3,Cancer antigen 15-3,CA15-3,Tumor Marker,0,28,KU/L,CA15-3 is a tumor marker from secretory epithelia (breast, lung, GI," uterus, etc.).,Clinical significance: key marker for breast cancer recurrence/monitoring; can rise in lung, pancreatic, ovarian, colorectal cancers.\nPotential diseases: breast 30–50% elevated; higher with stage/nodal mets; post-op falls, recurrence may rise. Lung: can be high; also secreted by normal airway epithelium. Ovary: high expression in glandular malignancies.\nClinic: breast (breast surgery/oncology), lung (respiratory/oncology/thoracic), ovary (gyne/oncology).\nManagement: treat underlying cancer—surgery/radiation/systemic per disease. Diet: emphasize fruits/veg/whole grains/lean protein; limit high-fat, high-salt, high-sugar foods. Lifestyle: healthy weight, regular aerobic + strength (≥150 min/week), avoid smoking, limit alcohol.,Adults,",
Cancer antigen 19-9,Cancer antigen 19-9,CA19-9,Tumor Marker,0,37,U/ML,Normal <37 U/mL (labs vary). Persistent >5–10× ULN suggests malignancy risk.,,,,
Common in GI adenocarcinoma (stomach, bile duct, colon, rectum); level correlates with size/nodes/metastasis/stage. Also in other adenocarcinomas (breast," NSCLC adeno). Dynamic changes monitor therapy/prognosis: high pre-treatment; fall with response; rise may precede imaging-detected relapse.""",Patients should undergo endoscopy (EGD/colonoscopy), liver/pancreas CT, ultrasound; chest CT and breast US as needed. If mass found, biopsy for diagnosis. Localized disease: surgery; advanced: chemo/targeted/immunotherapy to control progression.,Adults,,
Cancer antigen 242,Cancer antigen 242,CA242,Tumor Marker,0,20,KU/L,CA242 elevation warrants tumor vigilance but requires combined evaluation for diagnosis.,"Malignancy: >3× ULN raises concern, especially pancreas/GI tumors; detection 60%-85% in cancers; pancreatic sensitivity 66%-100%, colorectal 60%-72%.\nBenign: cholangitis, cholecystitis, pancreatitis may mildly elevate, usually not persistent.",Adults,,
Chymotrypsin,Chymotrypsin,CHYM,Enzyme Assay,10,1265,μg/g,Pancreatic protease; rapidly breaks down denatured proteins; stronger than trypsin with lower toxicity and fewer adverse effects. Liquefies viscous sputum (purulent/non-purulent), aids expectoration; also for wound healing post-trauma/surgery and cataract extraction.,Low activity in chronic pancreatitis," cystic fibrosis, small-intestine malabsorption.,Used for chronic bronchitis, bronchiectasis, lung abscess to liquefy sputum.,Works well for patients with excessive sputum, easing expectoration.",
Red blood cells,Red blood cells,RBC,Blood Routine,3.5,5.5,x10^12/L,RBCs are the most numerous blood cells; main oxygen carriers; also buffer acid-base and have immune roles. >400 surface antigens define blood groups.,Low count/quality → anemia, sickle cell," etc.; anemia lowers O2 delivery; sickling blocks flow. RBC indices/morphology aid diagnosis.,Counts vary by species/age/sex/state. Adult men ~4.0–5.5×10^12/L; women ~3.5–5.0×10^12/L; newborns up to 6.0×10^12/L. Major protein is hemoglobin (men 120–160 g/L; women 110–150 g/L).,Origin: multipotent HSC → progenitors → precursors; requires iron, B12, folate. Senescent RBCs cleared by marrow or liver macrophages to bile.",
Delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase,ALAD,Enzyme Assay,139,211,U/ml RBC,ALAD is a lysosomal lyase; activity drops in lead/other heavy metal poisoning.,Prep: avoid fatty/high-protein food/alcohol; fast 12h; proper post-draw pressure.,Use: symptoms like palpitations," headache, dizziness, syncope, coma, seizures, ataxia, respiratory or GI symptoms; children exposed to pencils.,Normal 139–211 U/ml RBC; low suggests lead/heavy metal toxicity—interpret with clinical data.",
Red cell distribution width,Red cell distribution width,RDW,Blood Routine,0,14.5,%,RDW reflects heterogeneity of RBC size; uniform size → low/normal; wide variation → high.,Use with MCV for anemia morphology (e.g., early iron deficiency vs thalassemia).,"Anemia diagnosis/management.,Normal <14.5%.",
Hematocrit,Hematocrit,HCT,Blood Routine,0.4,0.5,None,HCT (PCV) is the RBC volume fraction of whole blood; indirect RBC mass measure; with RBC/Hb calculates indices for anemia typing.,Major determinant of viscosity: higher HCT → higher viscosity.,Assess hemoconcentration (vomiting," diarrhea, burns); very high in polycythemia; secondary rises with hypoxia (newborns, altitude, COPD).,High → concentration/polycythemia; low → anemia/dilution.",
Erythrocyte sedimentation rate,Erythrocyte sedimentation rate,ESR,Inflammatory Response,0,15,mm/h,"Ref: men 0–15, women 0–20 mm/h. Elevated ESR can be physiologic or pathologic; slowing less significant. ESR is adjunct—interpret with other tests. It measures RBC settling speed under set conditions.","See internal medicine/rheumatology; complete CBC, CRP, autoantibodies, imaging to rule out RA, TB, malignancy; report fever, arthralgia, weight loss.",If elevated," see internal medicine/rheum; complete CBC, CRP, autoantibodies, imaging to rule out RA, TB, malignancy, etc.; report fever, arthralgia, weight loss.,Adults,",
Red blood cell count,Red blood cell count,RBC,Blood Routine,4,5.5,10^12/L,Normal: men 4.0–5.5×10^12/L, women 3.5–5.0×10^12/L (age-specific ranges vary). High/low suggests health issues.,High: hypoxia (COPD," altitude), dehydration, polycythemia. Low: anemia, chronic disease, malnutrition, marrow disease.,Adults,",
Cytokeratin 19 fragment,Cytokeratin 19 fragment,CYFRA21-1,Tumor Marker,0,4.46,ng/ml,Tumor marker used in lung and other cancers; elevation alone doesn’t diagnose cancer. Normal ranges vary; typically <3.3 ng/ml; above upper limit suggests possible disease.,"\""1) Diet: balanced; more fruits/veg/fiber; less high-fat/sugar/salt; avoid spicy/irritants.\n2) Emotion: avoid excessive anxiety; marker elevation ≠ definite severe disease; stress affects endocrine/immune.\n3) Avoid harmful exposures: limit carcinogens/radiation (formaldehyde"," benzene); ventilate rooms; choose eco materials; avoid long stays in newly renovated rooms.\""","Adults,",
Hydroxybutyrate dehydrogenase,Hydroxybutyrate dehydrogenase,HBDH,Myocardial Injury Related,90,182,U/L,HBDH with LDH/CK/AST forms the cardiac enzyme panel; important for MI diagnosis. Elevation: MI, active rheumatic/viral myocarditis, hemolytic anemia. Liver disease changes less than cardiac," aiding differentiation.,Test: fasting 12h, morning venous draw.,Diagnosis/differential of MI, myocarditis, hemolysis.,Normal 90–182 U/L; above suggests cardiac/hematologic disease—interpret with other tests.",
Creatinine,Creatinine,Cr,Renal Function,41,73,μmol/L,Elevation suggests reduced GFR or post–strenuous exercise rise.,See nephrology to rule out renal impairment.,"Adults, Children",Interpret with urinalysis.,
Creatine kinase,Creatine kinase,CK,Myocardial Injury Related,18,198,U/L,"CK used to diagnose skeletal muscle and cardiac disease; elevation from strenuous exercise, delivery, IM injections, MI, myocarditis, myositis, dystrophy; low in hyperthyroidism.",Use serum (not plasma); avoid hemolysis and factors that inactivate enzyme (heat/light); avoid CO2 loss altering pH.,Used for diagnosing skeletal muscle and cardiac disorders.,Normal CK suggests normal muscle/heart; high indicates injury—interpret with other tests.,
Enterokinase,Enterokinase,EK,Enzyme Assay,4.5,9.5,ku,Enterokinase is a duodenal heterodimer serine protease (150 kDa; 115k heavy + 35k light). Active pH 4.5–9.5, temp 4–45°C. Activates trypsinogen to trypsin; light chain and DDDDK recognition sequence conserved across vertebrates.,Defect may cause diarrhea," vomiting, edema, poor growth, hypoalbuminemia/anemia.,Protein engineering/post-expression processing,Reflux enrichment can overactivate trypsinogen → acute pancreatitis.",
Colonoscopy,Colonoscopy,Colonoscopy,Imaging Endoscopy,None,None,No unit,Recommended screening ≥50y; detects early cancer/polyps.,Polyps: GI removal and follow-up.,Middle-aged and Elderly,Gold standard for colorectal cancer screening.,
Gastrin-17,Gastrin-17,G-17,Gastric Function,1,15,Pmol/L,"Mild rise 15–30 pmol/L: suggests mild gastritis (e.g., H. pylori); mild dyspepsia; treat cause to normalize.\n30–100: consider atrophic gastritis; reduced acid → feedback G-17 rise; dyspepsia, cancer risk; manage with diet, meds, surveillance endoscopy.\n>100: consider gastrinoma; excess acid → refractory ulcers, diarrhea; often malignant/metastatic—needs prompt diagnosis and combined therapy.\nSeverity also depends on endoscopy/pathology (ulcer/erosion/mass/dysplasia).","1) Diet: light, easy to digest; less spicy/fatty/irritants; more fresh fruits/veg/fiber.\n2) Habits: regular sleep; moderate exercise; avoid strenuous post-meal activity.\n3) Follow-up: monitor G-17 and endoscopy per doctor to adjust treatment and prevent progression.",Adults,,
Pepsinogen I,Pepsinogen I,PGI,Gastric Function,67,200,ng/mL,Normal PGI typically 67–200 µg/L (ranges vary by lab/method). Levels higher in youth; may decline after 50.,"PGI from gastric chief cells; reflects mucosal function and acid output. Low value may indicate atrophic gastritis, H. pylori–related mucosal damage, or acid suppression/autoimmune gastritis.",Adults,"Persistently low PGI warrants evaluation for gastritis, H. pylori, and acid secretion status.",
Gastroscopy,Gastroscopy,Gastroscopy,Imaging Endoscopy,None,None,No unit,"Detects gastritis, polyps, precancerous lesions; commonly for >40y or H. pylori risk.",Gastritis often no intervention; abnormal polyps consider removal; neoplasia needs follow-up/treatment.,Middle-aged and Elderly,Gastroscopy identifies multiple gastric lesions and is suitable for high-risk screening.,
Choline acetyltransferase,Choline acetyltransferase,ChAT,Enzyme Assay,30,45,None,ChAT encodes enzyme that synthesizes ACh from acetyl-CoA and choline; reduced activity links to cognitive decline and cholinergic neuron loss in AD; also expressed in immune cells.,None,"Neuron marker, Alzheimer research, immune cell function research",Lower ChAT activity associates with AD-related cholinergic neuron loss.,
Cholinesterase,Cholinesterase,ChE,Liver Function,5000,12000,U/L,"Family of enzymes hydrolyzing acylcholines: AChE (RBC, ganglia, NMJ, lung, spleen, gray matter) and BChE (liver, pancreas, heart, white matter, plasma).","Serum ChE aids diagnosis of organophosphate poisoning and liver parenchymal injury; low ChE (genetic, etc.) → caution with succinylcholine; acute organophosphate poisoning drops 40–90%, may rebound; liver disease lowers BChE 50–70%; normal ChE favors biliary over hepatic disease; severe systemic illness lowers ChE; low often signals malnutrition; high seen in fatty liver, hyperthyroid, diabetes, nephrotic syndrome, neuro disorders, HTN, asthma, type IV hyperlipoproteinemia.","Liver function assessment, differentiation of hepatic vs biliary disease, organophosphate toxicity monitoring.",Interpret ChE with other liver enzymes; persistent low without recovery suggests poor prognosis.,
Bilirubin,Bilirubin,Bil,Liver Function,5.1,28,μmol/L,"Elevation indicates jaundice, hepatitis, or Gilbert syndrome.",Evaluate if transaminases also rise; visit hepatology if needed.,"Adults, Children",High bilirubin presents as jaundice and signals hepatobiliary metabolic issues.,
Caspase,Caspase,CASP,Enzyme Assay,27,10,None,Caspases are cysteine proteases with catalytic cysteine; cleave after aspartate; exist as inactive zymogens composed of prodomain plus large/small subunits; 14 isoforms; include apoptotic initiators/effectors and inflammatory caspases.,None,None,None,
Cystatin,Cystatin,Cys,Renal Function,0.51,1.09,mg/L,Cystatin C is a sensitive renal function marker; value >1.0 mg/L suggests impairment but not diagnostic alone.,If elevated, see nephrology; do UA/chemistry/urinary ultrasound; monitor CysC and related indices.,"Adults,",
Cystatin C,Cystatin C,CysC,Renal Function,0.51,1.09,mg/L,Sensitive renal marker; >1.0 mg/L suggests renal impairment; not diagnostic alone.,If high, see nephrology; complete UA/chem/urinary ultrasound; monitor over time.,"Adults,",
Lipoprotein lipase,Lipoprotein lipase,LPL,Blood Lipid,0.38,12.5,mol FFAh g tissue,LPL (including extrahepatic lipase/HTGL) is a TG hydrolase on endothelium; homologous to pancreatic lipase; key in fat metabolism.,Heparin, lead," calcium, bile salts, lecithin activate LPL; oral contraceptives reduce activity.,Moderate low: type I hyperlipoproteinemia, hypertriglyceridemia, diabetes, renal failure, lymphoma, prostate tumor; elevation: hepatitis, pancreatitis, cirrhosis, pancreatic tumor.,Moderate low: type I hyperlipoproteinemia, hypertriglyceridemia, diabetes, renal failure, lymphoma, prostate tumor; elevation: hepatitis, pancreatitis, cirrhosis, pancreatic tumor.",
Waist circumference,Waist circumference,WC,Physical Measurement,45,85,cm,"Measured at umbilicus or midpoint between lowest rib and iliac crest, end-expiration. Waist point = midpoint between iliac crest and costal margin on mid-axillary line; minimal waist between costal margin and iliac crest.",Tips: 1) Avoid lying/sitting long after meals; do ~30 min daily exercise (aerobic + resistance) to burn fat. 2) Small frequent meals; eat slowly; control total calories; veggies first; prefer lean/white meat; steam/boil over frying/grilling. 3) Drink 200–300 ml water 10 min before meals to reduce intake. 4) Keep good sleep; limit alcohol; maintain positive habits.,Adults,,
Hip circumference,Hip circumference,HC,Physical Measurement,80,100,cm,"Measured at the most posterior point of buttocks. Women have higher height-hip index (wider hips, different fat distribution); estrogen drives gluteofemoral fat → pear/hourglass shape, lower CVD risk; DHA in hip fat aids fetal brain development. Each +10 cm hip may lower all-cause mortality by 10%, while same waist gain raises risk 11%.",High waist-hip ratio (waist >> hip) reflects visceral fat and higher risk of CVD, metabolic," hormonal disorders; visceral fat releases FFAs → dyslipidemia (↑TG, ↓HDL-C) and atherosclerosis. Each +0.1 WHR raises CHD risk 20–30%.,Adults,",
Diastolic blood pressure,Diastolic blood pressure,DBP,Blood Pressure,0,85,mmHg,Pressure during diastole; high → arterial stiffness/HTN; low → dizziness/fatigue.,Low-salt/low-fat diet, regular schedule; see doctor if persistent deviation.,"Adults,Key indicator of vascular health and diastolic function.",
Malate dehydrogenase,Malate dehydrogenase,MDH,Enzyme Assay,80,310,U,MDH is a lysosomal redox enzyme; elevated in MI, hemolysis, megaloblastic/sickle anemia," acute liver disease, metastasis.,Prep: avoid fatty food/alcohol; fast 12h; post-draw press site; lie down with sugar if faint.,Use: chest pain, shock, arrhythmia, HF, fever.,Newborns ~2× adult range (80–310 U). Elevation suggests cardiac/hepatic/hematologic injury.",
Oxalate decarboxylase,Oxalate decarboxylase,OXDC,Enzyme Assay,2.5,4,U/L,OXDC is a Mn-containing cupin oligomer; catalyzes oxalate → formate + CO2 without cofactors; hexamer of cupin dimers; Mn binding and pH-driven conformational change are key.,Uses: crop disease resistance via transgenics; beer oxalate removal/paper anti-scaling; medical oxalate degradation to prevent stones.,Agriculture," Industry, Medicine,Degrades oxalate to reduce stone formation (shown in vitro).",
Bromelain,Bromelain,Bromelain,Enzyme Assay,5,8,units/mg,Thiolic protease from pineapple; hydrolyzes proteins (prefers basic/aromatic residues); fibrin-selective; widely used.,Food tenderizing/baking improvement; medical anti-inflammatory/edema aid; cosmetic exfoliation/brightening; heed optimal pH/temp.,Food processing," pharma/health, cosmetics, feed,Bromelain reduces inflammation/edema and improves drug absorption; oral use may cause GI upset; avoid in severe liver/kidney disease or coagulopathy.",
Glucose oxidase,Glucose oxidase,GOx,Enzyme Assay,3.5,6.5,None,Specifically oxidizes D-glucose → gluconic acid + H2O2 under aerobic conditions; requires C1 hydroxyl.,Uses: deoxygenation, flour improvement," anti-browning in food industry.,Food, textile dyeing, biofuel, glucose biosensors,Widely used in food/feed/pharma; no direct harm to humans.",
Glucose isomerase,Glucose isomerase,GI,Enzyme Assay,4,7,,"Also called xylose isomerase; converts aldoses (D-xylose, D-glucose, D-ribose) to ketoses. Widely sourced from bacteria, fungi, actinomycetes, plants, animals. Key enzyme for high-fructose syrup and fuel ethanol production.",,,,
Blood pressure,Blood pressure,BP,Blood Pressure,<90/60,>140/90,mmHg,Hypertension needs attention; hypotension often physiologic.,HTN: see cardiology; control diet/weight; quit smoking/limit alcohol.,Adults,BP abnormalities raise cardio-cerebrovascular risk.,
Platelets,Platelets,PLT,Blood Routine,125,350,×10^9/L,High in infection/iron deficiency/inflammation; low in marrow/immune issues; many fluctuations physiologic.,See hematology to judge pathology.,"Adults, Children",Abnormal counts affect clotting—watch bleeding/thrombosis risk.,
Platelet distribution width,Platelet distribution width,PDW,Blood Routine,15,20,%,PDW = dispersion of platelet volume (CV%); low → uniform size; high → heterogeneous.,If abnormal, combine with other labs/clinical signs for cause.,"Aid diagnosis of hematologic disease/anemia/leukemia.,Normal PDW → uniform size; higher PDW → more size variation.",
Plateletcrit,Plateletcrit,PCT,Blood Routine,0.11,0.23,%,PCT = MPV × PLT; influenced by MPV and PDW.,High from ↑MPV or ↑PLT; low from ↓MPV or ↓PLT—interpret with other tests.,Aid diagnosis/monitoring in hematologic/inflammatory/infectious/tumor settings.,Normal 0.11–0.23%; outside suggests platelet number/volume issues.,
Serum uric acid,Serum uric acid,SUA,Renal Function,210,450,μmol/L,Uric acid is end-product of purine metabolism; elevation from ↑production (high purine diet, tumors) or ↓excretion (renal decline, drugs).,"Gout marker: hyperuricemia → gouty arthritis, tophi, stones. Methods: phosphotungstate (simple/less specific) ref men 210–450, women 150–390 μmol/L; enzymatic UV/colorimetric men 208–428, women 155–357, children 119–327.,Adults,1) Routine checks to detect asymptomatic hyperuricemia; see rheum/ortho/nephro/endocrine.\n2) Healthy lifestyle: exercise (not intense), weight control, stop smoking, limit alcohol; avoid high-purine foods (seafood, organ meat, rich broths); avoid beer/spirits with seafood; small wine ok.\n3) Drink >2000 ml water daily (excluding food water), especially on meds.\n4) Use caution with drugs that impair uric acid excretion or raise levels.",
Erythrocyte sedimentation rate,Erythrocyte sedimentation rate,ESR,Inflammatory Response,0,15,mm/h,"Ref: men 0–15, women 0–20 mm/h. Elevated ESR can be physiologic or pathologic; slowing less significant. ESR is adjunct—interpret with other tests. It measures RBC settling speed under set conditions.","See internal medicine/rheumatology; complete CBC, CRP, autoantibodies, imaging to rule out RA, TB, malignancy; report fever, arthralgia, weight loss.",Adults,,
Serum amylase,Serum amylase,AMY,Pancreatic Function,20,90,U/L,Mainly for acute pancreatitis diagnosis. High from pancreatic disease, drugs, GI perforation," ERCP; low after pancreatectomy, severe DM, severe liver disease.,No fasting needed; avoid OCPs, codeine, morphine before draw.,Acute pancreatitis dx; pancreatic monitoring,Pancreatic source; digests polysaccharides; normal range indicates pancreatic function.",
Serum lactate dehydrogenase,Serum lactate dehydrogenase,LDH,Myocardial Injury Related,80,280,U/L,LDH catalyzes pyruvate ↔ L-lactate; key in glycolysis/gluconeogenesis; high in heart/kidney/skeletal muscle. Methods: colorimetry, kinetic.,Uses: MI," liver disease, malignancy. MI: rises 10–12h, peak 24–48h, normal 8–9d; rise magnitude tracks infarct size; delayed fall or re-rise → larger infarct/poor prognosis. Liver: acute/chronic active hepatitis moderate-high; hepatic mets up to 1000 U/L. Blood: leukemia, megaloblastic anemia, lymphoma. Others: malnutrition, rhabdo, pancreatitis, PE.,Adults,",
Serum thyroid-stimulating hormone,Serum thyroid-stimulating hormone,TSH,Thyroid Function,0.27,4.2,mlU/L,TSH from pituitary drives iodine uptake and thyroid hormone synthesis; key for primary hypothyroidism dx.,"1) Low TSH: secondary hypothyroidism, toxic goiter with hyperthyroidism, etc.\n2) High TSH: primary hypothyroidism, TSH-secreting pituitary tumor, pituitary insufficiency, subacute thyroiditis recovery.\nCombine thyroid hormones with TSH to locate dysfunction.\n- High hormone + low TSH → primary hyperthyroidism (Graves, adenoma).\n- High hormone + high TSH → secondary hyperthyroidism (pituitary).\n- Low hormone + high TSH → primary hypothyroidism (over-treated hyperthyroid, chronic thyroiditis).\n- Low hormone + low TSH → secondary hypothyroidism (hypothalamic/pituitary damage).",Adults,,
Serum hydroxybutyrate dehydrogenase,Serum hydroxybutyrate dehydrogenase,HBDH,Myocardial Injury Related,90,182,U/L,α-HBDH catalyzes α-hydroxybutyrate → α-ketobutyrate; richest in myocardium (~2× liver) with >50% total LDH activity. Measured via α-ketoacid substrate (reflects LDH1/2). Rises when myocardium damaged.,Part of cardiac enzyme panel with LDH/CK/AST; elevation: MI, rheumatic/viral myocarditis," hemolytic anemia. Less change in liver disease → helps distinguish liver vs heart.,Adults,",
