指标名,英文名,英文简称,类别,左边界,右边界,单位,专业解读,建议,适用范围,健康解读
胆红素,Bilirubin,Bil,肝功能,5.1,28,μmol/L,升高见黄疸、肝炎或Gilbert综合征。,建议评估转氨酶是否同步升高，必要时肝病科就诊。,成人、儿童,胆红素升高表现为黄疸，提示肝胆代谢异常。
胱天蛋白酶,Caspase,CASP,酶学检测,27,10,无,胱天蛋白酶属于半胱氨酸蛋白酶家族，其活性中心含有特征性半胱氨酸残基，通过特异性切割天冬氨酸羧基端肽键发挥作用。该酶以无活性酶原形式存在，由N端前结构域及大、小亚基组成，哺乳动物体内已发现14种同工酶。根据功能可分为凋亡相关型（启动型与效应型）和炎症相关型，其中启动型蛋白酶（如CASP8）负责激活效应型（如CASP3），共同执行细胞凋亡程序。研究显示该酶还参与坏死性凋亡调控，其活性受XIAP等抑制剂调控，并与肿瘤放射治疗、病毒感染等病理过程相关。,无,无,无
胱抑素,Cystatin,Cys,肾功能,0.51,1.09,mg/L,胱抑素C是一种反映肾功能的较为敏感的指标，但单纯依靠胱抑素C升高的数值来确诊肾病是不准确的，需要综合多种因素进行判断。一般来说，胱抑素C的正常参考值范围在0.51-1.09mg/L。胱抑素C的值大于1.0mg/L时，通常可以考虑是肾功能受损的一个信号，但并不能直接诊断为肾病。,发现胱抑素C偏高时，应及时前往医院肾内科就诊，进一步完善相关检查（如尿常规、血生化、泌尿系B超等），以明确病因并进行针对性治疗。在治疗过程中和治疗后，应定期复查胱抑素C水平及其他相关指标，以评估治疗效果和病情进展。,成人,
胱抑素C,Cystatin C,CysC,肾功能,0.51,1.09,mg/L,胱抑素C是一种反映肾功能的较为敏感的指标，但单纯依靠胱抑素C升高的数值来确诊肾病是不准确的，需要综合多种因素进行判断。一般来说，胱抑素C的正常参考值范围在0.51-1.09mg/L。胱抑素C的值大于1.0mg/L时，通常可以考虑是肾功能受损的一个信号，但并不能直接诊断为肾病。,发现胱抑素C偏高时，应及时前往医院肾内科就诊，进一步完善相关检查（如尿常规、血生化、泌尿系B超等），以明确病因并进行针对性治疗。在治疗过程中和治疗后，应定期复查胱抑素C水平及其他相关指标，以评估治疗效果和病情进展。,成人,
脂蛋白脂肪酶,Lipoprotein lipase,LPL,血脂,0.38,12.5,mol FFAh g组织,LPL主要有肝外脂肪酶和HTGL都是细胞溶酶体中的一种水解酶，在血管内皮表面发生作用，二者结构相似，属甘油三酯酶，与胰脂肪酶有同源酶。参与体内脂肪代谢功能。,肝素、铅、钙、胆盐、卵磷脂、溶血卵磷脂均可激活脂蛋白脂肪酶(Lipoprotein Lipase)，口服避孕药可致活性下降。,LPL活性中度降低见于1型高脂蛋白血症、甘油三酯增高症、糖尿病、肾衰、淋巴瘤、前列腺瘤等疾病。缺乏时首先反映在肝外脂肪组织。LPL活性升高见于肝炎、胰腺炎、肝硬变、胰腺肿瘤等。,LPL活性中度降低见于1型高脂蛋白血症、甘油三酯增高症、糖尿病、肾衰、淋巴瘤、前列腺瘤等疾病。缺乏时首先反映在肝外脂肪组织。LPL活性升高见于肝炎、胰腺炎、肝硬变、胰腺肿瘤等。
腰围,Waist circumference,WC,体格测量,45,85,cm,"腰围（waist circumference，M62）：经脐部中心的水平围长，或肋最低点与髂嵴上缘两水平线间中点线的围长，用软尺测量，在呼气之末、吸气未开始时测量。
注：前者大于后者，后者就是平常我们所说的腰围，又称腰节围 [1]，是国际糖尿病联合会（IDF）严格定义的腰围 [20]，近似于最小腰围 [2-3]。男性腰部最细处略高于肚脐，女性则高出更多 [4]。
腰节围（waist point circumference）：经左、右腰节点的腰部水平围长，用软尺测量。
注：腰节点（waist point）：在腋中线上，髂嵴上缘与肋骨下缘之间的中点。在水平面上，两侧腰节点围成的线称为腰节线。
最小腰围（minimum waist circumference）：在肋弓和髂嵴之间腰部最细处的水平围长。在呼气之末、吸气未开始时测量，用软尺测量 [1]。","01吃饭之后不要久坐

腹部脂肪堆积的主要原因之一是饭后懒散。如果每次饭后躺着不锻炼，很容易导致腹部脂肪堆积，增加脂肪含量，增加腰围。

这时注意每天花30分钟左右的时间锻炼身体。有氧与无氧相结合，注意适度，有利于多余热量的消耗，如跑步、游泳、波比跳跃等运动，燃烧脂肪的效果非常好。
02少食多餐不要吃太快

吃得太快的人往往会使腰围增加。因为吃得太快，导致血糖上升较快，胰岛素分泌过多，从而诱发腹部脂肪堆积，导致腹部肥胖。

建议你一日三餐按时吃。每餐只能吃7分饱。大家还应该控制总热量的摄入。建议先吃蔬菜，以减少日后主食的食用量。

在食物选择上，尽量吃清淡易消化的食物，少吃高脂肪食物，但要注意营养均衡，多吃白肉，少吃红肉；烹调方法尽量用蒸煮，少煎炸和烧烤。
03饭前先喝水

许多人一吃就容易吃得太多，建议这类人饭前10分钟喝两三百毫升水，可以增强饱腹感，减少食物摄入。有助于控制饮食和腹部脂肪的增加。

04保持积极乐观的心态

最后要注意的是，要保持积极的态度和改正不良的生活习惯。

保证充足的睡眠，如果经常熬夜，生物钟会被打破，新陈代谢会减慢，尽量少喝酒，喝酒是增加腰围的重要因素，对于酒精，大家要尽量控制饮酒的量，最好能够及时戒掉！
",成人,
臀围,Hip circumference,HC,体格测量,80,100,cm,"臀围（hip circumference）：臀部向后最突出部位的水平围长。
女性身高臀围指数显著高于男性，这与女性髋部更宽及脂肪分布差异有关。
女性因雌激素作用使臀部和大腿脂肪囤积更显著，形成大腿丰满、腰臀比低的梨型身材或沙漏型身材。梨型身材女性心血管疾病发病率较苹果型身材低91%，臀部脂肪所含的DHA对胎儿脑发育具有重要作用。
臀围每增加10cm可降低10%全因死亡风险，而腰围增加同等长度则使风险上升11%。",腰臀比过大（腰围显著大于臀围）主要反映内脏脂肪堆积，与多种慢性病风险直接相关，包括心血管疾病、代谢异常、激素紊乱等。 这类体型提示脂肪分布不健康，需重点关注。 内脏脂肪活跃代谢特性会释放大量游离脂肪酸，导致 血脂异常 （如甘油三酯升高、HDL-C降低），加速动脉粥样硬化。 研究表明，腰臀比每增加0.1，冠心病风险上升20%-30%。,成人,
舒张压,Diastolic blood pressure,DBP,血压,0,85,mmHg,反映心脏舒张时动脉的压力，过高提示血管弹性下降或高血压，过低可能导致头晕乏力,保持低盐低脂饮食、规律作息，若持续偏离建议就医检查,成人,舒张压是评估血管健康和心脏舒张功能的重要指标。
苹果酸脱氢酶,Malate dehydrogenase,MDH,酶学检测,80,310,U,苹果酸脱氢酶是细胞溶酶体中的一种氧化还原酶。其活性增高见于心肌梗死、溶血性疾病、巨幼红细胞贫血、镰刀型红细胞贫血、急性肝病、癌转移。,检查前需避免油腻饮食和饮酒，空腹12小时；检查后需正确按压止血，出现晕针症状应平卧并补充糖分。,有胸骨后剧烈疼痛、急性循环功能障碍、心律失常、心功能衰竭、发热等症状的人群。,新生儿正常值约为成人2倍（成人参考范围80-310U）。该酶参与糖代谢过程，异常升高提示可能存在心肌或肝脏损伤、血液系统疾病等病理情况。
草酸脱羧酶,Oxalate decarboxylase,OXDC,酶学检测,2.5,4,U/L,草酸脱羧酶（OXDC）是一种含Mn的多聚酶，属于cupin超家族，可在无辅因子条件下催化草酸分解为甲酸和二氧化碳。其三维结构由三个cupin二聚体单体组成六聚体，活性位点的Mn结合与pH依赖性构象变化密切相关。,在农业领域通过转基因技术提升作物对菌核病的抗性；工业上应用于啤酒草酸结晶去除及造纸管道防堵；医学中通过降解草酸抑制泌尿结石形成。,农业、工业、医学,通过降解草酸抑制泌尿结石形成，体外实验显示可通过降解草酸抑制结石形成。
菠萝蛋白酶,Bromelain,Bromelain,酶学检测,5,8,单位/mg,菠萝蛋白酶是一种从菠萝中提取的巯基蛋白酶，具有水解蛋白质的作用，优先水解碱性氨基酸或芳香族氨基酸的羧基侧上的肽链，选择性水解纤维蛋白。在医药、食品加工、美容化妆品等领域有广泛应用。,在食品加工中可用于肉类嫩化、焙烤食品改良等；在医药领域可用于抗炎消肿、助消化等；在美容化妆品中可用于嫩肤、美白去斑。使用时需注意其最佳pH值和温度范围。,食品加工业、医药保健品业、美容化妆品业、饲料工业,菠萝蛋白酶具有抗炎、消肿、促进药物吸收等作用，可用于治疗炎症、水肿等症状。但口服可能引起消化道不适，严重肝肾疾病或血液凝固功能不全患者忌用。
葡糖氧化酶,Glucose oxidase,GOx,酶学检测,3.5,6.5,无,GOD在有氧条件下能专一性地催化D-葡糖生成葡萄糖酸和过氧化氢。对D-葡萄糖表现出强烈的特异性，葡萄糖分子C(1)上的羟基对酶的催化活性至关重要。,在食品工业中可用于脱氧、面粉改良、防止食品褐变等。,食品工业、纺织漂染、生物燃料、葡萄糖生物传感器等领域。,广泛应用于食品、饲料、医药等行业，对人体健康无直接危害。
葡萄糖异构酶,Glucose isomerase,GI,酶学检测,4,7,,"葡萄糖异构酶(glucose isomerase , GI)，又称木糖异构酶，指的是能将D一木糖， D葡萄糖 ，D核糖等醛糖异构化为相应酮糖的异构酶。GI的来源非常广泛，细菌、真菌和放线菌等微生物以及植物和 动物细胞 中均有GI的存在，它是工业上生产 高果糖浆 的关键酶，在高果糖浆和燃料乙醇的工业化生产中发挥关键的作用。",,,
血压,Blood pressure,BP,血压,<90/60,>140/90,mmHg,高血压需重视，低血压多属生理性波动。,高血压建议就诊心内科，控制饮食体重，戒烟限酒。,成人,血压异常可增加心脑血管事件风险。
血小板,Platelets,PLT,血常规,125,350,×10^9/L,增多见感染/缺铁/炎症；减少见骨髓病或免疫异常。多数波动为生理差异。,可就诊血液科判断是否为病理性改变。,成人、儿童,血小板数量异常可能影响凝血功能，需警惕出血或血栓风险。
血小板体积分布宽度,Platelet distribution width,PDW,血常规,15,20,%,PDW反映血小板容积大小的离散度，用所测单个血小板容积大小的变易系数（CV%）表示。减少表明血小板的均一性高，增高表明血小板体积大小不均，个体间相差悬殊。,若PDW异常，建议结合其他血液指标和临床症状进一步检查，以确定具体病因。,适用于血液系统疾病、贫血、白血病等疾病的辅助诊断。,PDW在正常范围内表明血小板体积均一性高，PDW越大说明血小板体积大小越不均匀。
血小板压积,Plateletcrit,PCT,血常规,0.11,0.23,%,血小板压积（PCT）是血小板平均体积（MPV）与血小板计数（PLT）的乘积。临床上做血小板平均体积（MPV）和血小板分布宽度（PDW）测定，PCT受到血小板平均体积（MPV）和血小板分布宽度（PDW）的影响。,血小板压积的变化与血小板数量有关。升高可能是MPV升高或PLT升高，降低可能是MPV降低或PLT降低。具体原因需结合其他检查结果和临床症状进行综合判断。,适用于血液系统疾病、炎症、感染、肿瘤等疾病的辅助诊断和监测。,血小板压积的正常参考值为0.11%～0.23%。超出此范围可能提示血小板数量或体积异常，需进一步检查以明确原因。
血尿酸,Serum uric acid,SUA,肾功能,210,450,μmol/L,"正尿酸是嘌呤代谢的终末产物,血尿酸升高主要由核酸代谢增加和排泄减少引起。前者包括摄入高嘌呤食物和高分解代谢疾病,如肿瘤、白血病;后者包括肾功能下降及某些药物影响。
尿酸的测定是诊断嘌呤代谢所致痛风的生化标志。痛风的主要特点是高尿酸血症,由此而引起痛风性急性关节炎、痛风石沉积、痛风石性慢性关节炎和关节畸形、尿酸肾结石等肾脏病变,对健康危害极大。检测方法：(1)磷钨酸法，此法简单实用，但特异性差。参考值，男210～450μmol/L，女150～390μmol/L。(2)酶法，又分紫外吸收法和比色法，多采用试剂盒。参考值，男208～428μmol/L，女155～357μmol/L，儿童119～327μmol/L。","第一，要重视常规体检，这对于无症状高尿酸血症患者非常重要，普通的常规抽血即可反映血尿酸值是否超标，及早发现，及早治疗。一般可以选择到医院的风湿科、骨科、肾内科甚至风湿免疫科和内分泌科寻求诊断治疗。
第二，养成良好的健康方式，多运动（但避免剧烈运动），控制体重，尽可能戒烟，少喝酒。已确诊的高尿酸血症患者，由于其嘌呤代谢紊乱，应避免吃海鲜、动物内脏、浓肉汁汤等高嘌呤食物；切忌“啤酒或白酒+海鲜”的搭配，啤酒、白酒本身不产生尿酸，但有抑制尿酸排泄的作用，红酒可以适当少量喝。
第三，每天多饮水。普通人每天应摄入150~2000ml的水分（包括从食物中摄取的水分），而患者在服药期间更需要增加饮水量，每天应饮用2000ml以上的纯水（不包括从食物中摄取的水分）。
第四，慎用可能影响尿酸排泄的药物和使尿酸升高的药物",成人,
血沉,Erythrocyte sedimentation rate,ESR,炎症反应,0,15,mm/h,血沉的参考范围， 男性为0~15mm/h，女性为0~20mm/h。 血沉增高可见于生理和病理性原因，减慢则临床意义较小。 血沉是辅助诊断指标，需结合其他检查结果评估。 血沉即红细胞沉降率，是指红细胞在一定条件下沉降的速度。 其数值增高，可见于生理性原因和病理性原因。 生理性原因包括女性月经期和妊娠期、部分儿童和老年人等，这些情况通常无需特殊处理。,建议尽快到内科或风湿免疫科就诊，完善 血常规、C反应蛋白、自身抗体、影像学检查 等，排查类风湿关节炎、结核、肿瘤等潜在疾病。 若伴随发热、关节痛、体重下降等症状，需详细告知医生。,成人,
血淀粉酶,Serum amylase,AMY,胰腺功能,20,90,U/L,血清淀粉酶活性测定主要用于急性胰腺炎的诊断。高淀粉酶血症可能由胰腺疾病、药物、消化道穿孔、ERCP等引起；低淀粉酶血症可能与胰腺切除、重症糖尿病、严重肝病等有关。,抽血无须空腹，避免使用口服避孕药、可待因、吗啡等药物以免影响检测结果。,急性胰腺炎诊断、胰腺疾病监测,血淀粉酶主要来源于胰腺，对食物中多糖化合物的消化起重要作用。正常范围内表明胰腺功能正常。
血清乳酸脱氢酶测定,Serum lactate dehydrogenase,LDH,心肌损伤相关,80,280,U/L,乳酸脱氢酶(LDH或LD)是糖无氧酵解及糖异生的重要酶系之一，可催化丙酮酸与L-乳酸之间的还原与氧化反应，也可催化相关的α-酮酸。LDH广泛存在于人体组织中，以心、肾、骨骼肌含量最高，肝、脾、胰和肺组织次之。LDH测定方法主要有比色法和连续监测法。,LDH测定常用诊断心肌梗死、肝病和某些恶性肿瘤。　　(1)心肌梗死：发病10-12h升高，24-48h达高峰，8-9天后恢复正常。与CK相比，虽然酶活性出现较迟，阳性率较低，但持续时间长，且活性增高的程度与心肌梗死的病情密切相关，梗死范围越大，其酶活性越高。若LDH增高后恢复迟缓，或在病程中再次增高，提示梗死范围扩大，预后不良。　　(2)肝脏疾病：急性肝炎或慢性活动性肝炎LDH常显著或中度升高。其敏感度略低于ALT。肝癌时LDH活性明显升高，尤其是转移性肝癌增高更显著。可达1000U/L。　　(3)血液病：白血病、巨幼红细胞贫血、恶性淋巴瘤等LDH活性升高。　　(4)其他：营养不良、横纹肌损伤、胰腺炎、肺梗塞等LDH活性也升高。,成人,
血清促甲状腺素,Serum thyroid-stimulating hormone,TSH,甲状腺功能,0.27,4.2,mlU/L,血清促甲状腺激素（TSH），这是由脑垂体分泌的激素，其功能主要是促使甲状腺摄碘，加速甲状腺激素合成和分泌。血清促甲状腺激素是诊断原发性甲状腺功能低下的重要指标。,"1、TSH降低：见于继发性甲状腺功能减退症、弥散性甲状腺肿伴甲状腺功能亢进等症。
2、TSH升高：见于原发性甲状腺功能减退症，促甲状腺激素分泌型垂体瘤、腺垂体功能减退症、亚急性甲状腺炎恢复期。 
血清甲状腺激素和TSH联合应用，可以判断甲状腺功能紊乱的原因，帮助制订有效的治疗方案。
1、甲状腺激素升高伴TSH降低，多为甲状腺本身的疾病引起的原发性甲亢，如弥漫性甲状腺肿、甲状腺腺瘤等。甲状腺激素升高，TSH也升高，多为下丘脑—垂体功能紊乱引起的继发性甲亢，如脑垂体腺瘤。
2、甲状腺激素降低伴TSH升高，多为原发于甲状腺的机能减退，如原发性甲亢治疗过度、慢性甲状腺炎等。血清甲状腺激素降低，TSH也降低，多为下丘脑—垂体功能受损引起的继发性甲减。",成人,
血清羟基丁酸脱氢酶测定,Serum hydroxybutyrate dehydrogenase,HBDH,心肌损伤相关,90,182,U/L,血清α-羟丁酸脱氢酶（α-HBDH）能催化α-羟丁酸氧化为α-酮丁酸，它存在于人体各组织中，以心肌组织含量最多，约为肝脏的2倍，其活性达总酶活力的一半以上。α-羟丁酸脱氢酶测定是利用α-酮酸为底物所测得的乳酸脱氢酶（LDH）活性，由于LDH的H亚基对此底物的亲和力大，故用此酶活力代替含H亚基数多的LDH1和LDH2的活力。当心肌受损时，α-羟丁酸脱氢酶就会释放到血中，所以血清α-羟丁酸脱氢酶在发生心肌疾病时明显增高。α-羟丁酸脱氢酶的测定方法主要有比色法和连续监测法。,α-羟丁酸脱氢酶（α-HBDH）与乳酸脱氢酶（LDH）、肌酸激酶（CK）、天门冬氨酸氨基转移酶（AST）一起构成了心肌酶谱，对于诊断心肌梗死有重要意义。血清α-羟丁酸脱氢酶增高主要见于：心肌梗死、活动性风湿性心肌炎、急性病毒性心肌炎、溶血性贫血等。尽管肝脏和心脏疾病均可引起α-HBDH活性增高，但α-HBDH活性在肝脏疾病时变化不是很大，而在心脏疾病时有明显增高，故α-HBDH可用于肝病和心肌梗死的鉴别诊断。活动性风湿性心肌炎、急性病毒性心肌炎、溶血性贫血等因可引起血清中LDH1和LDH2活性增高，故α-HBDH活性亦增高。,成人,
血清肌酸激酶测定,Serum creatine kinase,CK,心肌损伤相关,8,60,U/L,肌酸激酶(CK)又称肌酸磷酸激酶，能可逆地催化肌酸和三磷酸腺苷生成磷酸肌酸和二磷酸腺苷的反应。在pH中性条件下，以ATP生成为主，以保证组织细胞的供能。正向反应利于线粒体内氧化磷酸化生成的ATP，以磷酸肌酸的形式进入细胞液，满足细胞生理活动之需要。CK广泛存在于骨骼肌、心肌和脑组织中。（1）肌酸显色法：8-60U/L(0.5-3.6U)。　（2）偶联速率法 男50-310U/L 女40-200U/L。,CK测定主要用于心肌梗死的诊断，对其他系统疾病的诊疗也具有一定意义。　(1) 急性心肌梗死，在发病2-4h开始升高，12-48h达到峰值，2-4天恢复正常，其升高程度较AST、LDH大，且出现早，与心肌损伤的程度基本一致，且心电图不易诊断的心内膜下心肌梗死和复发性心肌梗死时CK活性亦升高。动态监测有助于心肌梗死的病情观察和预后估计。　(2) 多发性肌炎、进行性肌营养不良、严重肌肉创伤等CK亦明显升高。　(3) 脑血管意外、脑膜炎、全身性惊厥、休克、破伤风等CK活性亦升高。　(4) 甲状腺功能低下，某些感染性疾病，恶性高热，剧烈运动，各种插管及手术，肌肉注射氯丙嗪、抗生素等CK亦增高。　(5) 甲状腺功能亢进，系统性红斑狼疮，慢性关节炎及应用类固醇制剂、避孕药和化疗可使CK活性降低。,成人,
血清脂肪酶(LPS),Serum lipase,LIP,胰腺功能,0,110,U/L,"脂肪酶(Lipase, LPS)是一组特异性较低的脂肪水解酶类，主要来源于胰腺，其次为胃及小肠，能水解多种含长链脂肪酸的甘油酯。通常胰腺以等量分泌脂肪酶及共脂肪酶进入循环，但因共脂肪酶相对分子量较小，可以从肾小球滤出，急性胰腺炎时，共脂肪酶脂肪酶比例下降。测定方法有滴定法、电极法、比浊法、分光光度计法及荧光光度计法。",抽血前无特殊要求。使用肝素、钙、胆盐、磷脂酰胆碱等可使LPS结果偏高；口服避孕药则相反。,急慢性胰腺炎、胰液淤滞(胰腺癌、胰腺囊肿、胆管癌、胆石症、乳头癌等)，肾功能不全、胰腺损伤、穿孔性腹膜炎、胰腺导管阻塞(结石、鸦片、可待因、甲基胆碱)。,升高可能提示急慢性胰腺炎、胰液淤滞等疾病；降低可能提示胰腺癌晚期、胰大部切除等情况。
血清谷胱甘肽过氧化物酶,Serum glutathione peroxidase,GPx,氧化应激指标,127.64,140.32,U/L,谷胱甘肽过氧化物酶(GSHPx或GPX)是体内重要的自由基捕获酶之一。研究表明，自由基与肿瘤发病密切相关，GSHPx不仅具有清除自由基和衍生物的作用，还减少脂质过氧化物的形成，增强机体抗氧化损伤的能力。GSHPx还参与前列腺素(PGI2)和血栓素(TXA2)的合成，保护细胞的结构和功能。因此，GSHPx在细胞抗氧化防御机制中的作用越来越受到临床关注。,老年性痴呆症患者则降低。,机体抗过氧化能力指标之一。,升高：糖尿病、镰状红细胞性贫血、新生儿溶血、地中海贫血。降低：克山病、大骨关节病、多发性硬化症、癌症、冠心病、慢性胰腺炎、烧伤、手术。
血清铁,Serum iron,Fe,铁代谢,"{'男性': 10.7, '女性': 9.1, '新生儿': 18, '婴儿': 7, '儿童': 9, '老年人': 7.2}","{'男性': 29.5, '女性': 26.5, '新生儿': 45, '婴儿': 18, '儿童': 22, '老年人': 14.3}",μmol/L,铁是形成血红素的必需元素，血红素是合成血红蛋白和肌红蛋白的原料，也是促进B族维生素代谢必不可少的物质。血液中与运铁蛋白结合的铁量即为血清铁。正常情况下，从小肠进入血液的二价铁在血液中氧化成三价，三价铁与血浆运铁蛋白相结合而被输送到骨髓或其他需铁组织被利用。,标本避免溶血。阿司匹林、考来烯胺、糖皮质激素可使结果降低。右旋糖酐、口服避孕药和铁剂可使测定结果升高。因此，抽血前应避免口服这类药物。血清铁含量有昼夜波动，早上最高，然后逐渐降低，午夜时最低，因此标本最好固定时间进行。,健康成人、婴幼儿、老年人,血清铁的正常水平对于维持血红蛋白和肌红蛋白的合成以及B族维生素的代谢至关重要。血清铁水平的异常可能提示铁代谢紊乱、贫血、肝病或其他健康问题。
血糖,Blood glucose,GLU,糖代谢,3.9,6.1,mmol/L,>7.0 诊断糖尿病，6.1~6.9 为临界，<3.9 多无需干预。,明显高或低时建议就诊内分泌科，调整饮食/药物治疗。,成人,血糖值反映糖代谢状态，是筛查糖尿病的重要指标。
血红蛋白,Hemoglobin,HGB,血常规,110,150,g/L,低值即为贫血，需分析是否缺铁、叶酸或维生素B12缺乏。,建议进一步血液科评估。,成人、儿童,血红蛋白是输送氧气的重要指标，低下会导致乏力、头晕等。
角质酶,Keratinase,KERA,酶学检测,5,9,pH,角质酶属于水解酶家族中的丝氨酸酯酶，可降解植物角质层酯键、乳化的甘油三酯、短链脂肪酸酯及人工聚酯材料。该酶最适催化pH范围为酸性至碱性（pH5.0-9.0），作用温度30-50℃。病原真菌通过分泌角质酶突破植物表皮角质层完成侵染，抑制cutA基因表达可降低其致病性。,在纺织工业中可用于棉纤维的生物精练和合成纤维的生物改性，推动清洁生产。,纺织工业、医学应用、化工应用,角质酶能够催化寄主表皮的角质多聚物水解。采用物理或化学的方法使角质酶钝化或使角质酶缺失，病原菌则不能侵入寄主。
角鲨烯合成酶,Squalene synthase,SQS,酶学检测,,,,角鲨烯合成酶是角鲨烯合成通路中的核心酶，催化两分子法尼基焦磷酸（FPP）缩合生成角鲨烯，该反应为三萜类化合物和固醇类物质合成的关键分支步骤。其活性直接影响胆固醇前体、植物次生代谢产物（如皂苷）及部分药物前体的生物合成效率。在代谢工程中，通过调控该酶活性可优化萜类化合物的合成路径，同时其作为药物靶点，被用于筛选降胆固醇抑制剂。,,代谢工程、药物开发、农业生物技术,
谷丙转氨酶,Alanine aminotransferase,ALT,肝功能,7,40,U/L,升高提示肝细胞损伤，如病毒性肝炎、酒精性肝炎。,建议肝病科进一步病因评估。,成人、儿童,ALT升高通常提示肝细胞受损，需结合其他指标综合评估。
谷氨酸脱氢酶,Glutamate dehydrogenase,GLUD,肝功能,0,1.5,U/L,谷氨酸脱氢酶(GLDH或GDH)是线粒体酶，主要存在于肝脏、心肌及肾脏，少量存在于脑、骨骼肌及白细胞中。GDH除催化L谷氨酸脱氢外，还具有催化其他氨基酸如L缬氨酸、L2氨基丁酸及L亮氨酸脱氨。其测定方法主要是连续监测法。,检查前不吃过于油腻、高蛋白食物，避免大量饮酒。体检前一天的晚八时以后，应开始禁食12小时。抽血时应放松心情。检查后需在针孔处进行局部按压3-5分钟，进行止血。,肝脏疾病诊断,正常值范围内表示肝脏功能正常。升高可能提示急性病毒性肝炎、慢性肝炎、肝硬化等肝脏疾病。
谷胱甘肽S转移酶,Glutathione S-transferase,GST,氧化应激指标,0,21,U/L,GST是一组与肝脏解毒功能有关的酶。该酶主要存在于肝脏内，微量存在于肾、小肠、睾丸、卵巢等组织中。由于肝细胞质内富含GST，当肝细胞损害时，酶迅速释放入血，导致血清GST活性升高。,检查前不吃过于油腻、高蛋白食物，避免大量饮酒。体检前一天的晚八时以后，应开始禁食12小时，以免影响检测结果。抽血时应放松心情，避免因恐惧造成血管的收缩，增加采血的困难。,怀疑为肝炎的患者或是肝炎情况的判定。,急性肝炎时，GST变化与ALT呈正相关; 重症肝炎和慢性肝炎时，GST升高者显著多于ALT升高者; 重症肝炎病人，血清GST明显升高，多数为正常人的5-8倍; 急性重症肝炎病人的GST有时升高至正常值的数十倍。
谷胱甘肽过氧化物酶,Glutathione peroxidase,GPx,氧化应激指标,2.96,83,UgHb,谷胱甘肽过氧化物酶是机体内广泛存在的一种重要的过氧化物分解酶。其活性中心是硒半胱氨酸，活力大小可以反映机体硒水平。它能催化GSH变为GSSG，使有毒的过氧化物还原成无毒的羟基化合物，从而保护细胞膜的结构及功能不受过氧化物的干扰及损害。,保持适当的硒摄入量以维持GSHPx的正常活性。,评估机体抗过氧化能力及硒水平。,升高可能见于糖尿病、镰状红细胞性贫血、新生儿溶血、地中海贫血；降低可能见于克山病、大骨关节病、多发性硬化症、癌症、冠心病、慢性胰腺炎、烧伤、手术等。
谷胱甘肽还原酶,Glutathione reductase,GR,氧化应激指标,33,73,U/L,谷胱甘肽还原酶是人体氧化还原体系中最为重要的酶之一，是维持细胞中还原型谷胱甘肽（GSH）含量的主要黄素酶。在NADPH参与下，氧化型谷胱甘肽转化为还原型谷胱甘肽，后者在防止血红蛋白的氧化分解、维持巯基蛋白的活性、保证巯基蛋白的还原性及细胞的完整性具有重要的作用。,在测定GR前应避免激烈运动、进餐和饮酒，以避免这些因素对GR活性的影响。,主要用于肝脏疾病的诊断，如急性肝炎、药物性肝损、中毒性肝炎、慢性肝炎、肝癌、肝硬化早期等。,GR活性升高可能与肝脏疾病有关，如急性肝炎、药物性肝损、中毒性肝炎、慢性肝炎、肝癌、肝硬化早期等。生理性升高可能由剧烈运动、进餐、饮酒或新生儿黄疸引起。
谷草转氨酶,Aspartate aminotransferase,AST,肝功能,13,35,U/L,可配合ALT判断损伤类型，AST/ALT>2提示酒精性肝炎。,建议评估饮酒史和肝损伤标志物。,成人、儿童,AST与ALT联合可判断肝脏或肌肉受损程度。
